config,map,agents,baseline_solved,candidate_solved,soc_gain_pct_vs_baseline,comp_median_gain_pct,comp_p95_gain_pct
x35_eps002_r5,random-32-32-20.map,300,25/25,25/25,1.87,-20.37,-39.68
x35_eps002_r5,den520d.map,700,25/25,25/25,0.00,4.42,-7.63
x35_eps002_r5,Paris_1_256.map,1000,25/25,25/25,0.00,1.64,-21.17
x35_eps002_r5,warehouse-20-40-10-2-1.map,1000,25/25,25/25,-0.03,12.71,6.26
x35_eps002_r5,warehouse-20-40-10-2-2.map,1000,25/25,25/25,-0.12,14.66,17.90
x35_eps005_r5,random-32-32-20.map,300,25/25,25/25,1.75,-5.56,-26.98
x35_eps005_r5,den520d.map,700,25/25,25/25,0.00,3.04,-3.33
x35_eps005_r5,Paris_1_256.map,1000,25/25,25/25,0.00,2.25,-17.92
x35_eps005_r5,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.10,8.45,7.85
x35_eps005_r5,warehouse-20-40-10-2-2.map,1000,25/25,25/25,0.14,16.72,12.59
x35_softmax_r5,random-32-32-20.map,300,25/25,25/25,0.67,-25.93,-17.46
x35_softmax_r5,den520d.map,700,25/25,25/25,0.00,3.97,-1.74
x35_softmax_r5,Paris_1_256.map,1000,25/25,25/25,0.00,-1.50,4.82
x35_softmax_r5,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.08,4.13,11.49
x35_softmax_r5,warehouse-20-40-10-2-2.map,1000,25/25,25/25,-0.02,11.64,15.85
x35_softmax_r9,random-32-32-20.map,300,25/25,25/25,1.79,-31.48,-34.92
x35_softmax_r9,den520d.map,700,25/25,25/25,0.00,5.91,-0.19
x35_softmax_r9,Paris_1_256.map,1000,25/25,25/25,0.00,12.89,-9.96
x35_softmax_r9,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.07,5.57,10.56
x35_softmax_r9,warehouse-20-40-10-2-2.map,1000,25/25,25/25,-0.15,14.02,18.67
x35_thompson_r5,random-32-32-20.map,300,25/25,25/25,1.39,-20.37,-30.16
x35_thompson_r5,den520d.map,700,25/25,25/25,0.00,7.34,-14.00
x35_thompson_r5,Paris_1_256.map,1000,25/25,25/25,0.00,8.12,-10.67
x35_thompson_r5,warehouse-20-40-10-2-1.map,1000,25/25,25/25,-0.10,5.20,9.03
x35_thompson_r5,warehouse-20-40-10-2-2.map,1000,25/25,25/25,-0.16,17.39,21.61
