config,map,agents,baseline_solved,candidate_solved,soc_gain_pct_vs_baseline,comp_median_gain_pct,comp_p95_gain_pct
w_balA,random-32-32-20.map,300,25/25,25/25,2.08,-3.70,-26.56
w_balA,den520d.map,700,25/25,25/25,0.00,4.75,17.14
w_balA,Paris_1_256.map,1000,25/25,25/25,0.00,-6.62,20.52
w_balA,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.08,14.01,9.20
w_balA,warehouse-20-40-10-2-2.map,1000,25/25,25/25,0.09,30.98,14.41
w_balB,random-32-32-20.map,300,25/25,25/25,1.44,-14.81,-26.56
w_balB,den520d.map,700,25/25,25/25,0.00,2.88,13.04
w_balB,Paris_1_256.map,1000,25/25,25/25,0.00,1.69,24.38
w_balB,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.05,13.95,7.44
w_balB,warehouse-20-40-10-2-2.map,1000,25/25,25/25,-0.07,30.32,15.96
w_base,random-32-32-20.map,300,25/25,25/25,1.75,-7.41,-25.00
w_base,den520d.map,700,25/25,25/25,0.00,5.93,10.68
w_base,Paris_1_256.map,1000,25/25,25/25,0.00,-7.61,24.92
w_base,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.10,10.00,10.65
w_base,warehouse-20-40-10-2-2.map,1000,25/25,25/25,0.14,30.17,14.81
w_smooth,random-32-32-20.map,300,25/25,25/25,0.97,-11.11,-35.94
w_smooth,den520d.map,700,25/25,25/25,0.00,2.77,8.82
w_smooth,Paris_1_256.map,1000,25/25,25/25,0.00,-3.59,17.03
w_smooth,warehouse-20-40-10-2-1.map,1000,25/25,25/25,-0.14,14.43,8.24
w_smooth,warehouse-20-40-10-2-2.map,1000,25/25,25/25,0.16,23.26,15.96
w_socA,random-32-32-20.map,300,25/25,25/25,1.57,-14.81,-29.69
w_socA,den520d.map,700,25/25,25/25,0.00,2.15,19.63
w_socA,Paris_1_256.map,1000,25/25,25/25,0.00,-2.00,18.32
w_socA,warehouse-20-40-10-2-1.map,1000,25/25,25/25,-0.04,14.31,7.38
w_socA,warehouse-20-40-10-2-2.map,1000,25/25,25/25,-0.02,30.05,14.60
w_socB,random-32-32-20.map,300,25/25,25/25,2.08,-12.96,-34.38
w_socB,den520d.map,700,25/25,25/25,0.00,0.45,23.23
w_socB,Paris_1_256.map,1000,25/25,25/25,0.00,-0.52,3.81
w_socB,warehouse-20-40-10-2-1.map,1000,25/25,25/25,-0.12,14.61,10.70
w_socB,warehouse-20-40-10-2-2.map,1000,25/25,25/25,-0.13,30.41,11.66
