config,map,agents,baseline_solved,candidate_solved,soc_gain_pct_vs_baseline,comp_median_gain_pct,comp_p95_gain_pct
mapaware_random_x35,random-32-32-20.map,300,25/25,25/25,1.75,-9.09,-26.87
mapaware_random_x35,den520d.map,700,25/25,25/25,0.00,0.67,2.01
mapaware_random_x35,Paris_1_256.map,1000,25/25,25/25,0.00,1.46,-15.81
mapaware_random_x35,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.00,-4.62,4.33
mapaware_random_x35,warehouse-20-40-10-2-2.map,1000,25/25,25/25,0.00,-1.88,8.20
mapaware_x35,random-32-32-20.map,300,25/25,25/25,2.08,-3.64,-25.37
mapaware_x35,den520d.map,700,25/25,25/25,0.00,2.19,9.85
mapaware_x35,Paris_1_256.map,1000,25/25,25/25,0.00,-1.38,-26.12
mapaware_x35,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.08,15.25,9.73
mapaware_x35,warehouse-20-40-10-2-2.map,1000,25/25,25/25,0.09,30.68,17.68
mapaware_x35_linucb,random-32-32-20.map,300,25/25,25/25,1.50,-7.27,-25.37
mapaware_x35_linucb,den520d.map,700,25/25,25/25,0.00,2.30,5.51
mapaware_x35_linucb,Paris_1_256.map,1000,25/25,25/25,0.00,-0.08,-32.95
mapaware_x35_linucb,warehouse-20-40-10-2-1.map,1000,25/25,25/25,-0.14,9.88,5.60
mapaware_x35_linucb,warehouse-20-40-10-2-2.map,1000,25/25,25/25,-0.06,25.95,15.93
mapaware_x36,random-32-32-20.map,300,25/25,25/25,1.75,-14.55,-23.88
mapaware_x36,den520d.map,700,25/25,25/25,0.00,3.87,-6.21
mapaware_x36,Paris_1_256.map,1000,25/25,25/25,0.00,-1.20,-11.18
mapaware_x36,warehouse-20-40-10-2-1.map,1000,25/25,25/25,0.10,-6.19,0.74
mapaware_x36,warehouse-20-40-10-2-2.map,1000,25/25,25/25,0.14,6.53,-0.38
